libelle_zone,insee,libelle_de_base,libelle_de_dul,OAP,fonction,art_3,art_4,art_5,art_6_defaut,art_6_type,art_6_optionel,art_71,art_72,art_73,art_74,art_8,art_9,art_10_top,art_101,art_12,art_13,art_14
le gratteris,25297,U,Ua,-1,0,0,2,99,4,99,99,3,2,2,2,99,0.7,2,10,1m45_2,0.15,99
le gratteris,25297,AU,AU,0,0,0,1,99,4,99,99,3,2,2,2,99,99,2,10,1m45_2,0.4,99
le gratteris,25297,AU,1AU,2,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
larnod,25328,U,U,0,1,0,1,99,5,1,3-RN83_0-chemin de la Gratte_0-route du Village_0-Esplanade Marthe Dagot_0-route de la Maltourn�e,1,3,3,2,3,99,7,12,1m60_2,99,99
larnod,25328,U,Ua,0,0,0,1,99,4,1,3-RN83,3,3,3,2,3,99,2,10,1m60_2,0.2,99
larnod,25328,U,Ug,0,0,0,1,99,4,1,3-RN83,3,3,3,2,3,99,7,12,1m60_2,0.2,99
larnod,25328,U,Us,0,0,0,2,99,4,1,3-RN83,3,3,3,2,3,99,2,10,1m60_2,0.2,99
larnod,25328,AU,1AUa,1,0,0,1,99,0,10,4,0,3,3,2,3,99,2,10,1m60_2,0.25,99
larnod,25328,AU,1AUb,2,0,0,1,99,99,99,99,99,9,99,99,3,99,2,10,1m60_2,0.25,99
larnod,25328,AU,1AUc,2,0,0,1,99,99,99,99,0,3,3,2,3,99,2,10,1m60_2,0.25,99
larnod,25328,AU,1AUd,1,0,0,1,99,0,10,4,0,3,3,2,3,99,2,6,2m60_3,0.25,99
larnod,25328,AU,1AUj,2,0,0,1,99,99,99,99,99,99,99,99,3,99,2,3,99,0.25,99
marchaux,25368,U,Ua,0,0,0,1,99,0,30,3,0,3,3,2,99,1,7,12-v6-a4.5,99,0.5,99
marchaux,25368,U,Ub,0,0,0,1,99,4,30,99,0,3,3,2,99,1,7,12-v6-a4.5,2,99,0.45+20s
marchaux,25368,AU,1AU,0,0,0,1,99,5,99,99,0,3,3,2,99,1,7,9-v6-a4.5,2,99,45
marchaux,25368,AU,1AUa,1,0,0,1,99,5,99,99,0,3,3,2,99,1,7,12-v6-a4.5,2,99,60
marchaux,25368,AU,2AU,2,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
miserey-salines,25381,U,Ua,0,1,1,0,99,99,20,4,1,4,4,2,3,99,6,8,0l2_2,99,1
miserey-salines,25381,U,Ub,0,0,1,0,99,4,1,20-RD108_10-RD230_10-RD5_35-RN57,0,4,4,2,3,0.4,5,6,0l2_2,99,0.3
miserey-salines,25381,U,Uc,0,0,1,0,99,4,1,5-RD,0,4,4,2,99,99,5,9,0l2_2,99,0.4
miserey-salines,25381,AU,1AU,0,0,1,0,99,5,99,99,0,4,4,2,3,99,5,6,0l2_2,99,0.3
miserey-salines,25381,AU,2AU,2,0,1,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
montfaucon,25395,U,UA,20,1,1,0,,,,,,,,1.5,,,,,,,
montfaucon,25395,U,UB,0,0,,0,,,,,,,,,,,,,,,
montfaucon,25395,U,UBr,20,0,,0,,,,,,,,,,,,,,,
montfaucon,25395,U,UBm,20,0,,0,,,,,,,,,,,,,,,
montfaucon,25395,AU,AU1m,1,0,,0,,,,,,,,,,,,,,,
montfaucon,25395,AU,AU1p,1,0,,0,,,,,,,,,,,,,,,
montfaucon,25395,AU,AU1b,1,0,,0,,,,,,,,,,,,,,,
montfaucon,25395,AU,AU1v,1,0,,0,,,,,,,,,,,,,,,
montfaucon,25395,AU,AU1c,1,0,,0,,,,,,,,,,,,,,,
montferrand,25397,U,UA,0,1,1,0,99,0-5,10,0.5,1,3,3,2,3,99,2,12,2,99,99
montferrand,25397,U,UB,0,0,1,0,99,0-10,10,0.5,1,3,3,2,3,99,2,10,2,99,99
montferrand,25397,U,UC,0,1,1,0,99,0-10,10,0.5,1,3,3,2,3,99,2,10,2,99,99
montferrand,25397,U,UH,0,0,1,0,99,0-10,10,0.5,0,5,5,2,3,99,2,10,2,99,0.3
montferrand,25397,U,UHi,0,0,1,0,99,0-10,10,0.5,0,5,5,2,3,99,2,10,2,99,0.3
montferrand,25397,AU,1AU,0,0,1,0,99,0-10,10,0.5,1,3,3,2,3,99,2,14,2,99,0.3
montferrand,25397,AU,1AUa,0,0,1,0,99,0,10,0.5,1,3,3,2,3,99,2,14,1x75,99,0.3
montferrand,25397,AU,2AU,2,0,1,0,99,0,10,0.5,1,0.5,0.5,99,3,99,2,14,2,99,0.3
